epsilon,L2_error
0.010000,8188599.688906
0.012690,3158042.960641
0.016103,1217948.179952
0.020434,469727.265230
0.025929,181166.860079
0.032903,69880.066962
0.041753,26960.980270
0.052983,10408.731118
0.067234,4025.191684
0.085317,1563.392029
0.108264,614.194222
0.137382,248.666617
0.174333,108.859851
0.221222,56.838521
0.280722,38.618487
0.356225,32.502240
0.452035,30.392465
0.573615,29.626722
0.727895,29.339285
0.923671,29.229649
1.172102,29.187551
1.487352,29.171343
1.887392,29.165096
2.395027,29.162688
3.039195,29.161759
3.856620,29.161401
4.893901,29.161263
6.210169,29.161209
7.880463,29.161189
10.000000,29.161181
