mesh_size,h_max,triangle_count,optimal_epsilon,optimal_error,epsilon_h_ratio
0.120000,0.190162,2286,0.161538,4.948688e-01,0.8495
0.110000,0.170937,2612,0.151282,4.766264e-01,0.8850
0.130000,0.180981,1958,0.161538,5.364688e-01,0.8926
0.140000,0.255184,1642,0.161538,6.092232e-01,0.6330
0.100000,0.171965,3166,0.141026,4.476783e-01,0.8201
0.150000,0.195447,1372,0.171795,6.519198e-01,0.8790
0.160000,0.298794,1258,0.171795,6.701761e-01,0.5750
0.170000,0.224618,1142,0.182051,6.811422e-01,0.8105
0.200000,0.304175,800,0.192308,7.649156e-01,0.6322
0.180000,0.261197,1012,0.182051,6.711991e-01,0.6970
0.190000,0.259171,914,0.182051,7.568011e-01,0.7024
0.230000,0.439387,626,0.202564,8.376671e-01,0.4610
0.210000,0.330060,714,0.192308,8.263659e-01,0.5826
0.220000,0.411375,710,0.192308,7.628946e-01,0.4675
0.250000,0.391358,540,0.202564,9.190085e-01,0.5176
0.260000,0.323419,536,0.202564,9.718010e-01,0.6263
0.240000,0.304373,612,0.192308,8.268339e-01,0.6318
0.270000,0.656626,454,0.223077,1.027978e+00,0.3397
0.290000,0.594727,388,0.223077,9.606105e-01,0.3751
0.280000,0.396825,450,0.223077,1.010627e+00,0.5622
0.320000,0.536281,318,0.233333,1.144443e+00,0.4351
0.300000,0.508083,380,0.233333,1.083295e+00,0.4592
0.310000,0.474809,398,0.233333,9.951724e-01,0.4914
0.330000,0.536734,314,0.223077,1.083291e+00,0.4156
0.350000,0.512582,254,0.243590,1.171178e+00,0.4752
0.340000,0.427684,320,0.253846,1.108661e+00,0.5935
0.360000,0.483623,258,0.243590,1.281674e+00,0.5037
0.370000,0.589319,258,0.243590,1.131034e+00,0.4133
0.380000,0.574010,260,0.233333,1.231477e+00,0.4065
0.400000,1.000549,198,0.264103,1.306047e+00,0.2640
0.390000,0.699726,260,0.233333,1.121117e+00,0.3335
0.410000,0.860169,204,0.274359,1.360403e+00,0.3190
0.420000,0.860169,204,0.274359,1.360403e+00,0.3190
0.430000,1.000549,198,0.264103,1.306047e+00,0.2640
0.440000,1.000549,198,0.264103,1.306047e+00,0.2640
0.450000,0.645752,154,0.274359,1.444925e+00,0.4249
0.460000,0.652061,150,0.305128,1.565062e+00,0.4679
0.470000,0.645752,154,0.274359,1.444925e+00,0.4249
0.480000,0.645752,154,0.274359,1.444925e+00,0.4249
0.490000,0.645752,154,0.274359,1.444925e+00,0.4249
0.090000,0.129515,3798,0.141026,4.233605e-01,1.0889
0.080000,0.140824,4940,0.130769,3.721104e-01,0.9286
0.070000,0.096116,6224,0.130769,3.249608e-01,1.3605
0.060000,0.105876,8608,0.120513,2.917031e-01,1.1382
0.050000,0.075135,12180,0.110256,2.605979e-01,1.4674
